type,address,label
bancor,0xb5a5a031d8b8577871384be6055b2ea29fac064c,Bancor: Converter #132
bancor,0x0d8746c7bfac7494904d4133c550c72b02c7cdbb,Bancor: Converter #133
bancor,0x0a9ed23490cf8f89e750bbc3e28f96502bb45491,Bancor: Converter #134
bancor,0x9f547e89078b24d0e2269ba08eb411102e98ca14,Bancor: Converter #135
bancor,0x2ce573c05c9b8f6ef1a476cc40250972f1f3d63c,Bancor: Converter #136
bancor,0x2723a5af933ff0a3522a301015544be366e6ee31,Bancor: Converter #137
bancor,0xc44330a585c3408392afb85b7018178bd4bae219,Bancor: Converter #138
bancor,0x810c99c5de0a673e4bc86090f9bfe96a6d1b49a7,Bancor: Converter #139
bancor,0x8bb76c5ae6b7d6bd1678510edd06444acdf8f72b,Bancor: Converter #14
0x,0x7afc2d5107af94c462a194d2c21b5bdd238709d6,0x: Old Forwarder
0x,0x5468a1dc173652ee28d249c271fa9933144746b1,0x: Old Forwarder 2
0x,0xdc4587cb17d2a1829512e2cfec621f8066290e6a,0x: Old Forwarder 3
0x,0x9463e518dea6810309563c81d5266c1b1d149138,0x: Old Order Validator
0x,0xa09329c6003c9a5402102e226417738ee22cf1f2,0x: Order Validator
0x,0x2a17c35ff147b32f13f19f2e311446eeb02503f3,0x: Staking
0x,0xa26e80e7dea86279c6d778d702cc413e6cffa777,0x: Staking Proxy
0x,0x3517b88c19508c08650616019062b898ab65ed29,0x: Static Call Proxy
0x,0xdb63d40c033d35e79cdbb21430f0fe10e9d97303,0x: Team Vesting
0x,0x926a74c5c36adf004c87399e65f75628b0f98d2c,0x: Token Registry
0x,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x: Token Sale
0x,0x8da0d80f5007ef1e431dd2127178d224e32c2ef4,0x: Token Transfer Proxy
0x,0xa6baaed2053058a3c8f11e0c7a9716304454b09e,0x: Uniswap Bridge
0x,0xba7f8b5fb1b19c1211c5d49550fcd149177a5eaf,0x: ZRX Vault
0x,0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX Token
bitstamp,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1
bitstamp,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2
bitstamp,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3
bitstamp,0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4
bitstamp,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5
bitstamp,0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6
bitstamp,0x538d72ded42a76a30f730292da939e0577f22f57,Bitstamp: Deployer
bitstamp,0xfca70e67b3f93f679992cd36323eeb5a5370c8e4,Bitstamp: Old Address 1
blockchain-cuties,0xaa4250216f77a79fd9983642a987f708f1fe7504,BC: Bank
blockchain-cuties,0x9de9563e27c6aafcf907bacee733f83d50168959,BC: Bidding 1
blockchain-cuties,0xbd047bfd52545b946264f00ebfbb01091412c033,BC: Bidding 2
blockchain-cuties,0xee7477b1c42d173c0791cecf2592f6a8a4c16b0a,BC: Bidding Custom
blockchain-cuties,0x312cb5dfc8e5414422568d017b475a40a5fc4faf,BC: Bidding Unique
blockchain-cuties,0x20c81ae5a7cf1c5a3f8293313692474f8d6b808b,BC: Breeding Market
